Comment,Description,Designator,Footprint,LibRef,Quantity
,,,,,
KBL608,600V/8A整流桥,B1,KBL,KBL,1
1uF,,"C1, C3, C6, C7, C10, C11, C40",0805CC,cap,7
1000uF/35V,,C2,CAP 5.0*12.5*20,Ecap,1
470uF/50V,,C4,CAP 5.0*12.5*20,Ecap,1
680uF/35V,,C8,CAP 5.0*12.5*20,Ecap,1
470uF/50V,,C9,CAP-10mm,Ecap,1
100nF,,"C12, C14, C15, C18, C19, C21, C23, C24, C26, C27, C32, C35, C36, C38, C39, C41",0805CC,cap,16
470uF/35V,,"C13, C22",CD A(3216),Ecap,2
100uF/60V,,C16,CAP-10mm,Ecap,1
470uF/35V,,"C17, C25",C3216,Ecap,2
10uF,,"C20, C37",0805CC,cap,2
22p,,"C30, C31, C33, C34",0805CC,cap,4
10nF,,C42,0805CC,cap,1
1N4148,高速开关二极管,"D1, D7",SOD-323,"1N4148, D",2
B540,Zener Diode,"D2, D4",SMCC,ZENER2,2
LED,,"D3, D5, D8, D9",0805LED,LED,4
SR506,Zener Diode,D6,SMCC,ZENER2,1
3A,,F1,FU BLX-A,fuse,1
HDR-1X2,2P接插件,"JP1, JP2",XH2.54-LI-2P,Header 2,2
HDR-1X8,8P接插件,JP3,HDR2.54-M-LI-8P,Header 8,1
HDR-1X5,5P接插件,JP4,HDR2.54-LI-5P,Header 5,1
47uH  5A,电感,"L1, L2, L3",LMR135,L1,3
DC5V,蜂鸣器,LS1,BEEP 5x9x5.5,BEEP,1
SS8050,高频放大-NPN型,"Q1, Q2, Q3, Q4",SOT23-3N,8050-SMD,4
360K,,R1,0805RR,res,1
10K,,"R2, R4, R7, R8, R10, R14, R27, R28, R30, R32, R33",0805RR,res,11
1K,,"R3, R11, R12, R13, R26, R31",0805RR,res,6
2K,,R5,0805RR,res,1
13K,,R6,0805RR,res,1
1.5K,,R9,0805RR,res,1
0R,,"R15, R19, R37",0805RR,res,3
200R,,"R16, R17, R18, R20, R22, R23",0805RR,res,6
0.22R 1W,,R21,2512R,res,1
200K,,R24,0805RR,res,1
300K,,R25,0805RR,res,1
3.3K,,R29,0805RR,res,1
220,,"R34, R35, R36, R38, R39, R42, R43",0805RR,res,7
10R,,"R40, R41",0805RR,res,2
SW-PB,Switch,S1,TSW SMD-6*6*6,SW-PB,1
SW-PB,Switch,S2,TSW SMD-4*4*1.5,SW-PB,1
XL4016,,U1,TO220-5A,XL4016,1
XL4013,,U2,TO252-5,XL4013,1
AMS1117-5.0,,U3,SOT223_N,AMS1117,1
LM321,,U4,SOT23-5,LM321,1
XL6006,,U5,TO263-5A,XL6006,1
AMS1117-3.3,,U6,SOT223_N,AMS1117,1
STM32F103C8,Flaah:64/RAM:20/IO:36,U7,LQFP48 7X7_M,STM32F103C8,1
CH340C,,U8,SOP16_L,CH340C,1
BLE5.0_E104,,U9,BLE_E104,BLE5.0_E104,1
USB-5P,微型USB母座,USB1,USB-MICRO_A,USB-5P,1
8M,4脚无源晶振,X1,OSC 3225-4P,XTAL-4P,1
32.768K,2脚无源脚晶振,X2,OSC 3215-2P,XTAL-2P,1
